absent,assist,assist_rate,attack_efficient,attack_ws,attackrebound_rate,behindrebound,block,block_rate,bottom_hand,bottom_hit,bottom_hit_rate,bottom_part_rate,close_hand,close_hit,close_hit_rate,close_part_rate,defend_efficient,defend_ws,defendrebound_rate,dunk,fault,first,foul,foul_plus_one,foul_rate,frontrebound,hand,hand1,hand3,hand_distance,hit,hit1,hit3,lose,middle_hand,middle_hit,middle_hit_rate,middle_part_rate,name,penalty,per_value,real_hit,rebound,rebound_rate,remote_hand,remote_hit,remote_hit_rate,remote_part_rate,score,season,shoot,shoot3,shoot_efficient,steal,steal_rate,team,time,use_rate,win,ws
51,4.9,30.7%,97,0.0,2.6%,3.7,0.3,0.8%,4.3,2.4,55.8%,26.0%,2.5,1.3,51.9%,15.4%,108,1.2,8.7%,5,3.2,51,1.2,18,14.9%,3.0,16.4,2.5,5.3,14.2,6.6,0.7,1.5,18,1.8,0.5,28.1%,10.7%,Derrick Rose,3.2,15.9,49.3%,81.3%,5.7%,2.5,1.0,38.0%,15.4%,17.7,14-15,40.5%,28.0%,45.0%,0.7,1.2%,芝加哥公牛,30.0,31.7%,33,1.2
10,4.3,26.2%,88,-0.6,3.3%,3.2,0.1,0.2%,4.9,2.6,53.1%,29.9%,3.7,0.9,24.3%,22.6%,105,0.4,8.3%,1,3.4,10,1.5,3,16.0%,2.7,16.4,2.3,4.7,12.3,5.8,0.9,1.6,5,1.2,0.5,41.7%,7.3%,Derrick Rose,3.2,9.7,44.6%,84.4%,5.9%,1.9,0.2,10.5%,11.6%,15.9,13-14,35.4%,34.0%,40.2%,0.5,0.9%,芝加哥公牛,31.1,31.5%,5,-0.2
78,3.0,16.2%,105,3.5,7.4%,5.7,2.2,4.5%, , , , , , , , ,99,5.6,21.0%, ,3.6,78,3.2, ,14.8%,4.5,18.3,7.0,0.2, ,9.3,2.2,0.1,24, , , , ,Hakeem Olajuwon,9.2,22.7,55.8%,78.7%,14.5%, , , , ,23.2,96-97,51.0%,31.3%,51.2%,1.5,2.1%,休斯顿火箭,36.6,30.4%,54,9.1
72,3.6,18.3%,108,4.5,7.3%,7.6,2.9,5.3%, , , , , , , , ,101,5.2,24.0%, ,3.4,72,3.4, ,12.5%,5.5,20.8,8.4,0.2, ,10.7,2.4,0.0,25, , , , ,Hakeem Olajuwon,10.9,25.5,55.8%,72.4%,15.9%, , , , ,26.9,95-96,51.4%,21.4%,51.5%,1.6,2.1%,休斯顿火箭,38.8,31.9%,47,9.7
44,3.6,23.1%,114,2.7,2.5%,4.3,0.4,1.0%,3.1,2.2,68.8%,28.1%,0.8,0.3,42.9%,7.1%,101,2.3,17.3%,3,2.0,7,2.0,17,13.3%,3.8,11.2,4.0,4.8,15.2,5.1,0.5,1.6,12,1.0,0.4,37.2%,8.8%,Manu Ginobili,4.5,22.9,59.4%,88.4%,10.0%,1.5,0.6,42.4%,13.4%,15.5,08-09,45.4%,33.0%,52.4%,1.5,2.9%,圣安东尼奥马刺,26.8,27.2%,32,5.0
74,4.5,26.4%,116,6.6,3.3%,6.0,0.4,1.1%,3.3,2.1,62.6%,25.0%,1.3,0.5,39.4%,9.6%,100,4.5,14.7%,14,2.7,23,2.3,23,14.5%,5.1,13.3,3.9,5.3,15.1,6.1,0.9,2.1,23,1.2,0.5,38.9%,9.1%,Manu Ginobili,4.8,24.3,61.2%,86.0%,9.1%,2.2,1.0,43.0%,16.8%,19.5,07-08,46.0%,40.1%,54.0%,1.5,2.6%,圣安东尼奥马刺,31.1,28.7%,51,11.1
81,9.7,41.5%,103,1.7,6.5%,4.1,0.3,0.6%, , , , , , , , ,109,2.6,13.3%, ,4.0,81,1.9, ,18.6%,2.8,16.0,4.3,4.9, ,6.1,2.5,1.6,55, , , , ,Jason Kidd,6.8,17.8,46.8%,69.2%,9.6%, , , , ,16.6,95-96,38.1%,33.6%,43.3%,2.2,2.9%,达拉斯小牛,37.5,24.3%,26,4.3
79,7.7,33.2%,103,1.1,5.8%,3.5,0.3,0.6%, , , , , , , , ,109,2.6,11.9%, ,3.2,79,1.8, ,20.4%,2.4,10.8,3.5,3.3, ,4.2,1.9,0.9,44, , , , ,Jason Kidd,5.4,15.1,47.1%,69.8%,8.7%, , , , ,11.7,94-95,38.5%,27.2%,42.6%,1.9,2.9%,达拉斯小牛,33.8,19.0%,35,3.7
55,4.1,19.0%,112,5.4,3.1%,5.6,0.2,0.4%,3.8,2.3,60.8%,18.1%,1.9,0.7,36.5%,9.0%,112,0.9,10.4%,9,2.8,55,2.1,32,10.7%,5.1,21.0,3.5,8.1,16.2,9.2,1.0,3.0,33,2.7,1.3,47.7%,12.9%,Ray Allen,4.5,21.6,56.4%,90.3%,6.7%,4.5,1.9,41.9%,21.5%,26.4,06-07,43.8%,37.2%,51.0%,1.5,1.9%,西雅图超音速,40.3,29.5%,22,6.3
78,3.7,17.2%,118,9.8,2.8%,4.6,0.2,0.4%,2.8,1.8,62.8%,14.5%,1.9,0.8,40.0%,10.0%,116,-0.3,10.6%,16,2.4,78,1.9,29,10.2%,4.2,19.2,3.3,8.4,17.2,8.7,0.9,3.4,43,2.4,1.1,45.1%,12.3%,Ray Allen,4.3,22.2,59.0%,90.3%,6.6%,3.8,1.7,44.7%,19.7%,25.1,05-06,45.4%,41.2%,54.4%,1.3,1.8%,西雅图超音速,38.7,27.4%,35,9.5
